horizon_hours,feature,importance
3,station_Guanyuan,0.0013595179188996553
3,station_Wanshouxigong,0.00040726567385718226
6,PM2.5,0.49831587076187134
6,TEMP_lag12,0.026332031935453415
6,WSPM,0.021679706871509552
6,hour_cos,0.019091658294200897
6,PRES_lag12,0.01579931750893593
6,TEMP_lag1,0.014770659618079662
6,PRES,0.014662066474556923
6,month_sin,0.01384105533361435
6,DEWP_lag3,0.013780040666460991
6,PM2.5_lag12,0.012627903372049332
6,PRES_lag6,0.012516195885837078
6,hour_sin,0.0125135388225317
6,RAIN,0.011972391977906227
6,TEMP,0.011786146089434624
6,dow_cos,0.01158949825912714
6,DEWP_lag1,0.011498053558170795
6,DEWP,0.01119947899132967
6,PM10_lag12,0.011020946316421032
6,PM10,0.010302243754267693
6,PM2.5_roll12,0.010124176740646362
6,No,0.009893115609884262
6,DEWP_lag6,0.009507101960480213
6,DEWP_lag12,0.009241165593266487
6,TEMP_lag3,0.00923042744398117
6,dow_sin,0.008736126124858856
6,TEMP_lag6,0.008353598415851593
6,WSPM_lag6,0.008152876049280167
6,SO2,0.007983776740729809
6,CO,0.007824080064892769
6,PM2.5_lag1,0.007796925958245993
6,PM2.5_roll6,0.007674195803701878
6,station_Changping,0.00724035082384944
6,NO2,0.007220933213829994
6,PM2.5_roll3,0.006881967652589083
6,station_Dingling,0.006841059774160385
6,WSPM_lag12,0.006790642626583576
6,month_cos,0.006651302799582481
6,PM10_lag6,0.006602495908737183
6,PM10_roll12,0.006585943512618542
6,PM10_lag1,0.006514628883451223
6,PRES_lag3,0.006363211665302515
6,PM10_roll3,0.006272922735661268
6,PM2.5_lag6,0.006247584242373705
6,WSPM_lag1,0.006240720394998789
6,PRES_lag1,0.006123187951743603
6,PM2.5_lag3,0.006075320765376091
6,PM10_roll6,0.005746480077505112
6,O3,0.005360736977308989
6,WSPM_lag3,0.0048021492548286915
6,station_Gucheng,0.004661250859498978
6,PM10_lag3,0.004344694782048464
6,station_Huairou,0.003876731963828206
6,station_Shunyi,0.0036278744228184223
6,station_Dongsi,0.0024168959353119135
6,station_Wanshouxigong,0.0022537047043442726
6,station_Guanyuan,0.0016024979995563626
6,station_Tiantan,0.0011339178308844566
6,station_Wanliu,0.0009004166931845248
6,station_Aotizhongxin,0.0005538651603274047
6,station_Nongzhanguan,0.0002501020208001137
12,PM2.5,0.35678523778915405
12,TEMP_lag6,0.041755687445402145
12,PRES_lag12,0.027748186141252518
12,hour_cos,0.027259264141321182
12,PM2.5_roll12,0.02318591997027397
12,WSPM,0.02169780433177948
12,month_sin,0.018884625285863876
12,DEWP_lag3,0.01840376853942871
12,PM2.5_lag12,0.016551759093999863
12,PM10_lag12,0.016236916184425354
12,No,0.01574893295764923
12,dow_cos,0.01495878491550684
12,dow_sin,0.014905637130141258
12,DEWP_lag1,0.014767223037779331
12,month_cos,0.014403184875845909
12,PRES_lag6,0.014035921543836594
12,PRES,0.01366986520588398
12,TEMP_lag12,0.013530462048947811
12,DEWP_lag12,0.013429710641503334
12,PM10_roll12,0.013235013000667095
12,DEWP,0.012937352992594242
12,RAIN,0.012686106376349926
12,DEWP_lag6,0.0119978291913867
12,CO,0.011869307607412338
12,PM10,0.0116907749325037
